person,person_url,universities_category,alma_mater,awards,birth_date,birth_name,birth_place,caption,children,death_date,death_place,doctoral_advisor,doctoral_students,education,field,fields,image,image_size,imagesize,known_for,name,nationality,occupation,office,office1,office2,party,predecessor,predecessor1,predecessor2,predecessor3,president,prizes,religion,residence,signature,spouse,successor,successor1,successor2,successor3,term_end,term_end1,term_end2,term_end3,term_start,term_start1,term_start2,term_start3,work_institution,work_institutions,workplaces
John Hasbrouck Van Vleck,https://vi.wikipedia.org/wiki/John_Hasbrouck_Van_Vleck,Đại học Harvard,Harvard University; University of Wisconsin-Madison,,13 tháng 3 năm 1899,,Connecticut; Middletown,1974; John Hasbrouck Van Vleck,,,Cambridge; Massachusetts,Edwin C. Kemble,Edward Mills Purcell; John Atanasoff; Philip Anderson; Robert Serber; Thomas Kuhn,,Vật lý học,,JH van Vleck 1974.jpg,,,,John Hasbrouck Van Vleck,Hoa Kỳ,,,,,,,,,,,* Elliott Cresson Medal (1971); * ForMemRS (1967)<ref name=frs> </ref>; * Giải Nobel vật lý (1977)}}; * Irving Langmuir Award (1965); * Lorentz Medal (1974); * National Medal of Science (1966); {{Plainlist|,,,,,,,,,,,,,,,,,,Balliol College; Harvard University; Oxford; University of Minnesota; University of Oxford; University of Wisconsin–Madison,
John Hickenlooper,https://vi.wikipedia.org/wiki/John_Hickenlooper,Đại học Wesleyan,,,,John Wright Hickenlooper Jr,Hoa Kỳ; Narberth; Pennsylvania,,,,,,,MS); Wesleyan University (BA,,,John Hickenlooper by Gage Skidmore.jpg,,,,John Hickenlooper,,,,Chair of the National Governors Association,Thị trưởng  Denver thứ 43,Dân chủ,Bill Ritter,Mary Fallin,Wellington Webb,,,,,,,,Jared Polis,Gary Herbert,Bill Vidal,,8 tháng 1 năm 2019,28 tháng 7 năm 2015,11 tháng 1 năm 2011,,11 tháng 1 năm 2011,13 tháng 7 năm 2014,21 tháng 7 năm 2003,,,,
John Howard Northrop,https://vi.wikipedia.org/wiki/John_Howard_Northrop,Đại học Columbia,Đại học Columbia,,5 tháng 7 năm 1891,,Mỹ; New York; Yonkers,,,,Arizona; Mỹ; Wickenburg,Jacques Loeb,,,Hóa học,,John Howard Northrop.jpg,220px,,Nghiên cứu về enzime,John Howard Northrop,,,,,,,,,,,,* Giải Nobel Hóa học năm 194625px; * Huy chương Daniel Giraud Elliot năm 1939,,,,,,,,,,,,,,,,,,* Đại học California; * Đại học Columbia; * Đại học Rockefeller; Berkeley,
John Jay,https://vi.wikipedia.org/wiki/John_Jay,Đại học Columbia,,,,,British America; New York; New York City,,6 (bao gồm Peter; William),,Bedford; Hoa Kỳ; New York,,,Đại học Columbia,,,John Jay (Gilbert Stuart portrait).jpg,,,,John Jay,,,Thống đốc bang New York,Chánh án Tối cao pháp viện Hoa Kỳ thứ nhất,Ngoại trưởng Hoa Kỳ,Liên bang,George Clinton,Chức vụ được thiết lập,Chức vụ được thiết lập,Robert Livingston,,,,,John Jay Signature2.svg,Sarah Livingston,George Clinton,John Rutledge,Thomas Jefferson,Chức vụ được thiết lập,30 tháng 6 năm 1801,29 tháng 6 năm 1795,22 tháng 3 năm 1790,5 tháng 9 năm 1789,1 tháng 7 năm 1795,26 tháng 9 năm 1789,15 tháng 9 năm 1789,7 tháng 5 năm 1784,,,
John Kerry,https://vi.wikipedia.org/wiki/John_Kerry,Đại học Yale,,,,,,,,,,,,,,,John Kerry portrait of Climate Envoy (cropped) 1.jpg,,220px,,John Kerry,,,Ngoại trưởng Hoa Kỳ thứ 68,,Thượng nghị sĩ Hoa Kỳ; từ Massachusetts,Dân chủ,Hillary Clinton,,Paul Efthemios Tsongas,Joe Biden,,,Công giáo,,John Kerry Signature2.svg,,Rex Tillerson,,"William Maurice ""Mo"" Cowan",Bob Menendez,20 tháng 1 năm 2017,,1 tháng 2 năm 2013,2 tháng 1 năm 2013,1 tháng 2 năm 2013,,3 tháng 1 năm 1985,6 tháng 1 năm 2009,,,
John Lipsky,https://vi.wikipedia.org/wiki/John_Lipsky,Đại học Stanford; Đại học Wesleyan,Đại học Stanford; Đại học Wesleyan,,,,Thành phố New York,,,,,,,,,,John Lipsky.jpg,,,,John Lipsky,,,Quyền Tổng giám đốc điều hành của Quỹ Tiền tệ Quốc tế,,Phó giám đốc thứ nhất của Quỹ Tiền tệ Quốc tế,,Dominique Strauss-Kahn,,Anne Osborn Krueger,,,,,,,,,,,,,,,,15 tháng 5 năm 2011,,1 tháng 9 năm 2006,,,,
John Mulaney,https://vi.wikipedia.org/wiki/John_Mulaney,Đại học Georgetown,Georgetown University,,,John Edmund Mulaney,Chicago; Illinois; U.S,Mulaney in 2014,,,,,,St. Ignatius College Prep,,,John Mulaney at PaleyFest 2014.jpg,,,,John Mulaney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Pham (nhà khoa học),https://vi.wikipedia.org/wiki/John_Pham_%28nh%C3%A0_khoa_h%E1%BB%8Dc%29,Đại học Northwestern,Cử nhân Khoa học - Bates College (âm nhạc; Tiến sĩ - Northwestern University (sinh học phân tử); hóa sinh),,,,,,,,,,,,,Sinh học phân tử,,,,,John W. Pham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cell Press
John Quincy Adams,https://vi.wikipedia.org/wiki/John_Quincy_Adams,Đại học Harvard,Đại học Harvard,,11 tháng 7 năm 1767,,Braintree; Châu Mỹ thuộc Anh; Vịnh Massachusetts,John Quincy Adams năm 1843; ảnh chụp bởi Mathew Brady,Charles; John; bao gồm George,23 tháng 2 năm 1848 (80 tuổi),D.C; Hoa Kỳ; Washington,,,,,,JQA Photo.tif,,250px,,,,,30px; Tổng thống thứ 6 của Hoa Kỳ,Dân biểu Hoa Kỳ; từ Khu vực Quốc hội thứ 8 của Massachusetts,Dân biểu Hoa Kỳ; từ Khu vực Quốc hội thứ 12 của Massachusetts,Phong trào chống thợ hồ; Đảng Cộng hoà Quốc gia; Đảng Dân chủ-Cộng hoà; Đảng Liên bang; Đảng Whig,James Monroe,William B. Calhoun,James L. Hodges,Joseph Richardson,,,,,John Quincy Adams Signature.svg,Louisa Johnson,Andrew Jackson,Horace Mann,George D. Robinson,John Reed Jr,4 tháng 3 năm 1829,23 tháng 2 năm 1848,3 tháng 3 năm 1843,3 tháng 3 năm 1833,4 tháng 3 năm 1825,4 tháng 3 năm 1843,4 tháng 3 năm 1833,4 tháng 3 năm 1831,,,
John Schrieffer,https://vi.wikipedia.org/wiki/John_Schrieffer,Viện Công nghệ Massachusetts,Học viện Công nghệ Massachusetts; Đại học Illinois tại Urbana-Champaign,,,,Hoa Kỳ; Illinois; Oak Park,,,,Florida; Hoa Kỳ; Tallahassee,,,,Vật lý học,,John Robert Schrieffer.jpg,,,Lý thuyết BCS,Tiến sĩ John Robert Schrieffer,Hoa Kỳ,,,,,,,,,,,Giải Nobel Vật lý (1972); Giải Vật lý Comstock (1968),,,,,,,,,,,,,,,,,,Đại học California tại Santa Barbara; Đại học Florida; Đại học Pennsylvania; Đại học bang Florida,
John Steinbeck,https://vi.wikipedia.org/wiki/John_Steinbeck,Đại học Stanford,,,27 tháng 2 năm 1902,,California; Hoa Kỳ; Salinas Valley,Văn hào John Steinbeck năm 1962,,,Hoa Kỳ; New York,,,,,,John Steinbeck 1962.jpg,,,,John Steinbeck,,Nhà văn,,,,,,,,,,,,,John Steinbeck signature.svg,,,,,,,,,,,,,,,,
John Tate,https://vi.wikipedia.org/wiki/John_Tate,Đại học Harvard,Đại học Harvard; Đại học Princeton,,,,Hoa Kỳ; Minneapolis; Minnesota,,,,,Emil Artin,Dinesh Thakur; Joseph H. Silverman; Kenneth Alan Ribet,,Toán học,,John Tate.jpg,,,Module Tate; Phỏng đoán Tate,John Tate,Mỹ,,,,,,,,,,,Giải Abel (2010); Giải Wolf về Toán học (2002/03),,,,,,,,,,,,,,,,,,Austin; Đại học Harvard; Đại học Texas,
John Updike,https://vi.wikipedia.org/wiki/John_Updike,Đại học Harvard,,,,John Hoyer Updike,Pennsylvania; Reading; United States,Updike in 1989,,,Danvers; Massachusetts; United States,,,,,,John Updike with Bushes new.jpg,,,,,,nhà phê bình văn học; nhà văn viết truyện ngắn; tiểu thuyết gia,,,,,,,,,,,,,John Updike signature.svg,,,,,,,,,,,,,,,,
John Zubek,https://vi.wikipedia.org/wiki/John_Zubek,Đại học Johns Hopkins,,,,John Peter Zubek,Tiệp Khắc; Trnovec,,,,Canada; Manitoba; Winnipeg,<!--(or  | doctoral_advisors = )-->,,Đại học British Columbia; Đại học Johns Hopkins; Đại học Toronto,,Tâm lý học,"<!--(filename only; i.e. without ""File:"" prefix)-->",,,Mất cảm giác; Somesthesis; Tâm sinh lý học,John Zubek,Canada,,,,,,,,,,,,,,<!--(filename only)-->,<!--(or | spouses = )-->,,,,,,,,,,,,,,,Đại học Manitoba; Đại học McGill
Jon Caramanica,https://vi.wikipedia.org/wiki/Jon_Caramanica,Đại học Harvard,Goldsmiths; Đại học Harvard (B.A.); Đại học Luân Đôn,,,,Brooklyn; Hoa Kỳ; New York,Caramanica năm 2007,,,,,,,,,Jon_Caramanica_01.jpg,,,,Jon Caramanica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Salk,https://vi.wikipedia.org/wiki/Jonas_Salk,Đại học Michigan,Trường Cao Đẳng thành phố New York; Đại học Michigan; Đại học New York,,,Jonas Edward Salk,Mỹ; New York,Jonas Salk tại Sân bay Copenhagen (1959),,,California; Hoa Kỳ; La Jolla,Jr; Thomas Francis,,,Nghiên cứu y học; dịch tễ học; virus học,,Dr Jonas Edward Salk (cropped).jpg,,,Làm vắc-xin bại liệt,,Hoa Kỳ,,,,,,,,,,,Giải Lasker (1956),,California; La Jolla; New York; Pennsylvania; Pittsburgh,Jonas Salk signature.svg,,,,,,,,,,,,,,Viện nghiên cứu sinh học Salk; Đại học Michigan; Đại học Pittsburgh,,
Joseph Dunford,https://vi.wikipedia.org/wiki/Joseph_Dunford,Đại học Georgetown,,,,,Boston; Hoa Kỳ; Massachusetts,,,,,,,,,,Dunford CJCS.JPG,,,,Joseph Dunford,,,Chủ tịch Hội đồng Tham mưu trưởng Liên quân Hoa Kỳ,,,,Martin Dempsey,,,,,,,,,,Mark Milley,,,,30 tháng 9 năm 2019,,,,1 tháng 10 năm 2015,,,,,,
"Joseph Hooton Taylor, Jr.",https://vi.wikipedia.org/wiki/Joseph_Hooton_Taylor%2C_Jr.,Đại học Harvard,Haverford College; Đại học Harvard,,,,Hoa Kỳ; Pennsylvania; Philadelphia,,,,,,,,Vật lý học,,2008JosephTaylorWithMarietta.jpg,,180px,sao xung,Joseph Hooton Taylor; Jr,Hoa Kỳ,,,,,,,,,,,Giải John J. Carty cho thăng tiến Khoa học (1991); Giải Nobel Vật lý (1993); Giải Wolf Vật lý (1992); Huy chương Henry Draper (1985),Quaker,,,,,,,,,,,,,,,,,Five College Radio Astronomy Observatory (Đài thiên văn vô tuyến 5 trường đại học); Đại học Massachusetts; Đại học Princeton,
Joseph L. Mankiewicz,https://vi.wikipedia.org/wiki/Joseph_L._Mankiewicz,Đại học Columbia,,'''Career Golden Lion'''; '''Đạo diễn xuất sắc nhất'''; 1950 ''All About Eve''; 1987 Lifetime Achievement,,,,,,,,,,,,,,,,,Joseph L. Mankiewicz,,,,,,,,,,,,,,,,Elizabeth Young (m. 1934–1937); Rose Stradner (m. 1939–1958); Rosemary Matthews (m. 1962),,,,,,,,,,,,,,,
Joseph Nye,https://vi.wikipedia.org/wiki/Joseph_Nye,Đại học Harvard,Đại học Harvard <small>(Tiến sĩ khoa học chính trị)</small>; Đại học Oxford <small>(Thạc sĩ)</small>; Đại học Princeton <small>(Cử nhân)</small>,,,,New Jersey; South Orange,,,,,,,,,,,,,,Joseph Nye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Stiglitz,https://vi.wikipedia.org/wiki/Joseph_Stiglitz,Viện Công nghệ Massachusetts,Amherst College; MIT,Giải John Bates Clark (1979); Giải Nobel Kinh tế (2001),,Joseph Eugene Stiglitz,Gary; Hoa Kỳ; Indiana,,,,,Robert Solow,,,Kinh tế học vĩ mô; kinh tế học công cộng; kinh tế học thông tin,,File:Empfang Joseph E. Stiglitz im Rathaus Köln-1473.jpg,,220px,,Joseph Stiglitz,20px Hoa Kỳ,,,,,,,,,,,Giải John Bates Clark (1979); Giải Nobel Kinh tế (2001),,20px Hoa Kỳ,,,,,,,,,,,,,,,Đại học Columbia,,
José Manuel Barroso,https://vi.wikipedia.org/wiki/Jos%C3%A9_Manuel_Barroso,Đại học Georgetown,Viện đại học châu ÂU; Đại học Geneva; Đại học Lisbon,,,,Bồ Đào Nha; Lisbon,,Francisco; Guilherme; Luís,,,,,,,,Jose Manuel BarrosoCROPPED.jpg,,200px,,José Manuel Barroso,,,Chủ tịch Ủy ban châu Âu,,Thủ tướng Bồ Đào Nha,Đảng dân chủ xã hội <small>(1976–nay)</small>,Romano Prodi,,António Guterres,,,,,Brussels; Bỉ,Barroso signature.svg,Maria Sousa Uva,Jean-Claude Juncker,,Pedro Santana Lopes,,31 tháng 10 năm 2014,,17 tháng 7 năm 2004,,22 tháng 11 năm 2004,,6 tháng 4 năm 2002,,,,
Juan Bautista Sacasa,https://vi.wikipedia.org/wiki/Juan_Bautista_Sacasa,Đại học Columbia,Đại học Columbia,,21 tháng 12 năm 1874,,León; Nicaragua,,,,California; Los Angeles,,,,,,Juan Bautista Sacasa cph.3a44780.jpg,,,,Juan Bautista Sacasa,Nicaragua,,Tổng thống Nicaragua,,,,José María Moncada,,,,,,,,,,Carlos Alberto Brenes,,,,9 tháng 6 năm 1936,,,,1 tháng 1 năm 1933,,,,,,
Julia Louis-Dreyfus,https://vi.wikipedia.org/wiki/Julia_Louis-Dreyfus,Đại học Northwestern,Đại học Northwestern,Full list,,"Julia Scarlett Elizabeth Louis-Dreyfus<ref name=""actors""> </ref>",Hoa Kỳ; Thành phố New York,Louis-Dreyfus năm 2019,,,,,,,,,Julia Louis-Dreyfus 2019 (cropped).jpg,,,,Julia Louis-Dreyfus,,,,,,Dân chủ,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Schwinger,https://vi.wikipedia.org/wiki/Julian_Schwinger,Đại học Columbia,* Đại học Columbia; * Đại học Thành phố New York,,12 tháng 2 năm 1918,,Hoa Kỳ; Thành phố New York,,,,California; Hoa Kỳ; Los Angeles,Isidor Isaac Rabi25px,* Ben R. Mottelson 25px; * Bryce DeWitt; * Daniel Kleitman; * Gordon Baym; * Lawrence Paul Horwitz; * Margaret G. Kivelson; * Roy Glauber; * Sam Edwards; * Sheldon Lee Glashow 25px; * Stanley Deser; * Walter Kohn 25px,,Vật lý,,1965.jpg; Julian Schwinger,220px,,* Giới hạn Schwinger; * Mô hình Rarita-Schwinger; * Mô hình Schwinger; * Nguyên tắc chuyển động lượng tử Schwinger; * Phương trình Lippmann-Schwinger; * Phương trình Schwiger-Dyson; * Tham số Schwinger; * Điện đông lực học lượng tử; * Định lý spin-thống kê,Julian Schwinger,,,,,,,,,,,,* Giải Humboldt; * Giải Nobel Vật lý năm 196525px; * Giải thưởng Albert Einstein năm 1951; * Huân chương Khoa học Quốc gia năm 1964,,,,,,,,,,,,,,,,,,* Viện Công nghệ Massachusetts; * Đại học California; * Đại học Harvard; * Đại học Purdue; Berkeley; Los Angeles,
June Huh,https://vi.wikipedia.org/wiki/June_Huh,Đại học Michigan,Seoul National University; University of Michigan,Fields Medal (2022),,<!-- only use if different from name -->,California; Stanford; United States,Huh tại Đại hội Toán học Thế giới năm 2018,,<!--   (DEATH date then BIRTH date) -->,,Mircea Mustață,,,,,June Huh - ICM 2018.jpg,,,Giải quyết được giả thuyết Heron-Rota-Welsh,June Huh,Korean American,,,,,,,,,,,,,,,Nayoung Kim,,,,,,,,,,,,,,Princeton University; Stanford University,
Kamal Ganzouri,https://vi.wikipedia.org/wiki/Kamal_Ganzouri,Đại học Michigan,Ann Arbor; Đại học Michigan,,,,Egypt; Monufia,,,31/3/2021 (88 tuổi),,,,,,,,,,,<small>كمال الجنزورى</small>; Kamal Ganzouri,,,Thủ tướng Ai Cập,,,Independent <small>(1999–nay)</small>; National Democratic Party <small>(Before 1999)</small>,Essam Sharaf,,Atef Sedki,,Mohamed Hussein Tantawi <small>(Quyền)</small>; Mohamed Morsi,,Hồi giáo,,,,Hesham Qandil,,Atef Ebeid,,24 tháng 7 năm 2012,,5 tháng 10 năm 1999,,7 tháng 12 năm 2011,,2 tháng 1 năm 1996,,,,
Kamikawa Yōko,https://vi.wikipedia.org/wiki/Kamikawa_Y%C5%8Dko,Đại học Harvard,,,,,Nhật Bản; Shizuoka,Chân dung chính thức; năm 2024,,,,,,Đại học Harvard University; Đại học Tōkyō,,,Yoko Kamikawa 20240716 (cropped).jpg,,250px,,Kamikawa Yōko,,,Bộ trưởng Ngoại giao Nhật Bản,Bộ trưởng Tư pháp Nhật Bản,,Dân chủ Tự do,Hayashi Yoshimasa,Mori Masako,Kaneda Katsutoshi,Matsushima Midori,,,,,,,Iwaya Takeshi,Furukawa Yoshihisa,Yamashita Takashi,Iwaki Mitsuhide,1 tháng 10 năm 2024,4 tháng 10 năm 2021,2 tháng 10 năm 2018,7 tháng 10 năm 2015,13 tháng 9 năm 2023,16 tháng 9 năm 2020,3 tháng 8 năm 2017,20 tháng 10 năm 2014,,,
Karen Uhlenbeck,https://vi.wikipedia.org/wiki/Karen_Uhlenbeck,Đại học Michigan,,Giải Abel (2019); Giải Leroy P. Steele (2007); Huân chương Khoa học Quốc gia (2000); MacArthur Fellowship; Noether Lecture (1988),,,Cleveland; Hoa Kỳ; Ohio,Uhlenbeck năm 1982,,,,Richard Palais,,Brandeis University (Doctor of Philosophy); Đại học Michigan (BA); Đại học New York,,Nhà toán học,Uhlenbeck Karen 1982 (cropped).jpg,200px,,Calculus of variations; Minimal surface; Phân tích hình học; Yang–Mills theory,Karen Uhlenbeck,Hoa Kỳ,,,,,,,,,,,,,,<!--(filename only)-->,Olke C. Uhlenbeck,,,,,,,,,,,,,,,University of Illinois at Chicago; University of Illinois at Urbana–Champaign; Đại học Chicago; Đại học Texas tại Austin
Karl Barry Sharpless,https://vi.wikipedia.org/wiki/Karl_Barry_Sharpless,Đại học Harvard; Đại học Stanford,* Đại học Dartmouth; * Đại học Harvard; * Đại học Stanford,,,,Mỹ; Philadelphia Pennsylvania,,,,,,,,Hóa học,,Barry Sharpless 02.jpg,220px,,,Karl Barry Sharpless,,,,,,,,,,,,* Giải Hóa học của Viện hàn lâm Khoa học quốc gia Hoa Kỳ năm 2000; * Giải Nobel Hóa học năm 200125px; * Giải Wolf về Hóa học năm 2001; * Giải thưởng Harvey năm 1998; * Huy chương Franklin năm 2001,,,,,,,,,,,,,,,,,,* Viện Công nghệ Massachusetts; * Viện nghiên cứu Scripps,
Katie Higgins Cook,https://vi.wikipedia.org/wiki/Katie_Higgins_Cook,Đại học Georgetown,,,,Katie Higgins Johnson,,Higgins năm 2015,,,,,,,,,Blue Angels announce 2015 team members 140709-N-WJ386-082 (cropped).jpg,,,First female Blue Angels pilot,,,,,,,,,,,,,,,,,Dusty Cook,,,,,,,,,,,,,,,
Kehinde Wiley,https://vi.wikipedia.org/wiki/Kehinde_Wiley,Đại học Yale,,,,,California; Los Angeles; U.S,Wiley vào năm 2015,,,,,,,Họa sĩ,,Kehinde Wiley (2015) (cropped).jpg,,,,Kehinde Wiley,Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ken Yeager,https://vi.wikipedia.org/wiki/Ken_Yeager,Đại học Stanford,Đại học Bang San Jose; Đại học Stanford,,,,,,,,,,,,,,KenYeagerHeadshot.jpg,,,,Ken Yeager,,,Nghị sĩ Hội đồng Giám sát Quận Santa Clara; từ khu vực 4,,Nghị sĩ Hội đồng Thành phố San Jose; từ khu vực 6,Đảng Dân chủ,,,,,,,,California; San Jose,,,,,,,,,2006,,2006,,2000,,,,
Kenneth Arrow,https://vi.wikipedia.org/wiki/Kenneth_Arrow,Đại học Columbia,City College of New York; Đại học Columbia,Giải John Bates Clark (1957); Giải Nobel kinh tế (1972); Giải thưởng Lý thuyết von Neumann (1986); Huân chương Khoa học Quốc gia (2004),,,Hoa Kỳ; New York City,,,,California; Hoa Kỳ; Palo Alto,,,,Kinh tế học vi mô; Lý thuyết cân bằng tổng thể; Lý thuyết sự lựa chọn xã hội,,Kenneth Arrow; Stanford University.jpg,200px,,,Kenneth J. Arrow,Hoa Kỳ,,,,,,,,,,,,,,<!-- file name only -->,,,,,,,,,,,,,,,,
Kenneth G. Wilson,https://vi.wikipedia.org/wiki/Kenneth_G._Wilson,Đại học Harvard,Đại học Harvard (B.A.)<br/ >Caltech (Ph.D.),,,Kenneth Geddes Wilson,Massachusetts; Waltham,,,,Maine; Saco,"Murray Gell-Mann<ref name=""mathgene""> </ref>","H. R. Krishnamurthy; Michael Peskin; Paul Ginsparg; Paulo Caldas; Ray Renken; Roman Jackiw; Serge Rudaz; Steven R. White<ref name=""mathgene""/>",,Vật lý lý thuyết,,,,,Phase transitions; Renormalization group; Wilson loops,,Hoa Kỳ,,,,,,,,,,,Boltzmann Medal; Dirac Medal; Eringen Medal; Heineman Prize; Nobel Prize in Physics; Wolf Prize in Physics,,,,,,,,,,,,,,,,,,Đại học Cornell; Đại học Ohio State,
Kim Dong-yeon,https://vi.wikipedia.org/wiki/Kim_Dong-yeon,Đại học Michigan,Đại học Kookjae; Đại học Michigan; Đại học Quốc gia Seoul,,,,Eumseong; Hàn Quốc,,,,,,,,,,,,,,Kim Dong-yeon,,,Thống đốc Gyeonggi,Phó Thủ tướng Hàn Quốc,Bộ trưởng Bộ Kinh tế; Tài chính,Đảng Dân chủ Đồng hành,Lee Jae-myung <small>(2021)</small>,Yoo Il-ho,Yoo Il-ho,Lim Jong-ryong,,,,,Kim Dong-yeon Signature.svg,,,Hong Nam-ki,Hong Nam-ki,Choo Kyung-ho,,10 tháng 12 năm 2018,10 tháng 12 năm 2018,22 tháng 7 năm 2014,1 tháng 7 năm 2022,9 tháng 6 năm 2017,9 tháng 6 năm 2017,25 tháng 3 năm 2013,,,
Kirstjen Nielsen,https://vi.wikipedia.org/wiki/Kirstjen_Nielsen,Đại học Georgetown,,,,Kirstjen Michele Nielsen,,,,,,,,Đại học Georgetown; Đại học Virginia,,,Kirstjen Nielsen official photo.jpg,,,,Kirstjen Nielsen,,,Bộ trưởng thứ sáu của Bộ An ninh Nội địa Hoa Kỳ,Phó Chánh Văn phòng Nhà Trắng,Chánh Văn phòng Bộ An ninh Nội địa Hoa Kỳ,,John F. Kelly,Katie Walsh,Paul Rosen,,Donald Trump,,,,,,Kevin McAleenan (quyền),''Chức vụ khuyết'',Chad Wolf (quyền),,10 tháng 4 năm 2019,6 tháng 12 năm 2017,31 tháng 7 năm 2017,,6 tháng 12 năm 2017,6 tháng 9 năm 2017,20 tháng 1 năm 2017,,,,
Kobayashi Takayuki,https://vi.wikipedia.org/wiki/Kobayashi_Takayuki,Đại học Harvard,Đại học Tōkyō,,,Kobayashi Takayuki,Chiba; Ichikawa,Chân dung chính thức; năm 2017,,,,,,Trường trung học Kaisei,,,Takayuki Kobayashi 20171218.jpg,,,,Kobayashi Takayuki,,Chính khách; Luật sư,,An ninh Kinh tế; Bộ trưởng Nội các Đặc trách,Nghị viên Chúng Nghị viện,Dân chủ Tự do,,''Văn phòng Thành lập'',,,,,,,,,,Takaichi Sanae,,,,,,,,,,,,,
Koizumi Shinjirō,https://vi.wikipedia.org/wiki/Koizumi_Shinjir%C5%8D,Đại học Columbia,Đại học Columbia; Đại học Kantō Gakuin,,,,Kanagawa; Nhật Bản; Yokosuka,Chân dung chính thức; năm 2024,,,,,,,,,Shinjirō Koizumi 20250521 (cropped).jpg,,250px,,Koizumi Shinjirō,,,Bộ trưởng; Lâm nghiệp; Nông nghiệp; Thủy sản Nhật Bản,Bộ trưởng; Môi trường Nhật Bản,Nghị viên Chúng Nghị viện,Đảng Dân chủ Tự do,Etō Taku,Harada Yoshiaki,Koizumi Junichirō,,,,,,,,,Yamaguchi Tsuyoshi,,,,4 tháng 10 năm 2021,,,21 tháng 5 năm 2025,11 tháng 9 năm 2019,31 tháng 8 năm 2009,,,,
Konrad Lorenz,https://vi.wikipedia.org/wiki/Konrad_Lorenz,Đại học Columbia,,,,Konrad Zacharias Lorenz,Viên; Áo-Hung,,,,Viên; Áo,,,,Ethology,,Konrad Lorenz.JPG,,,,Konrad Lorenz,Áo,,,,,,,,,,,* ForMemRS  <ref name=formemrs> </ref>; * Giải Nobel Sinh lý học; * Kalinga Prize; Y khoa  }}; {{Plainlist|,,,,,,,,,,,,,,,,,,,
Kyriakos Mitsotakis,https://vi.wikipedia.org/wiki/Kyriakos_Mitsotakis,Đại học Stanford,MBA); Đại học Harvard (BA; Đại học Stanford University (MA),,,,Athens; Hy Lạp,,,,,,,,,,AAA 2108 (45718115542) (cropped).jpg,,,,Kyriakos Mitsotakis,,,Thủ tướng Hy Lạp,Lãnh đạo Phe đối lập,Bộ trưởng Bộ Cải cách Hành chính,Đảng Dân chủ mới,Alexis Tsipras,Ioannis Plakiotakis,Antonis Manitakis,Ioannis Plakiotakis,Prokopis Pavlopoulos,,,Biệt thự Maximos,,,,Alexis Tsipras,Nikos Voutsis,,,8 tháng 7 năm 2019,27 tháng 1 năm 2015,,8 tháng 7 năm 2019,11 tháng 1 năm 2016,24 tháng 6 năm 2013,11 tháng 1 năm 2016,,,
Kōno Tarō,https://vi.wikipedia.org/wiki/K%C5%8Dno_Tar%C5%8D,Đại học Georgetown,Đại học Georgetown; Đại học Keio,,Kōno Tarō,,Hiratsuka; Kanagawa; Nhật Bản,Kōno Tarō năm 2010,,,,,,,,,Tarō Kōno 20100712 (cropped).jpg,,250px,,Kōno Tarō,,,Trưởng Ban Chính sách Phòng chống COVID-19,Bộ trưởng Quốc phòng,Bộ trưởng Ngoại giao,Đảng Dân chủ Tự do,Takeda Ryota,Takeshi Iwaya,Kishida Fumio,Eriko Yamatani,,,,,Taro Kono signature.svg,,Noriko Horiuchi,Kishi Nobuo,Motegi Toshimitsu,Matsumoto Jun,4 tháng 10 năm 2021,16 tháng 9 năm 2020,11 tháng 9 năm 2019,3 tháng 3 năm 2016,16 tháng 9 năm 2020,11 tháng 9 năm 2019,3 tháng 8 năm 2017,7 tháng 10 năm 2015,,,
L. Rafael Reif,https://vi.wikipedia.org/wiki/L._Rafael_Reif,Đại học Stanford,,,,,Maracaibo; Venezuela,L. Rafael Reif,Jessica and Blake,<!--   (death date then birth date) -->,,,,Universidad de Carabobo (B.S.); Đại học Stanford (PhD),,,The_Future_of_Higher_Education_L._Rafael_Reif_(8411916296).jpg,,,,L. Rafael Reif,,,Hiệu trưởng thứ 17 của Viện Công nghệ Massachusetts,,,,Susan Hockfield,,,,,,,,,Christine Chomiuk,,,,,,,,,2012,,,,,,
